[0] :::MLLOG {"namespace": "", "time_ms": 0, "event_type": "POINT_IN_TIME", "key": "gradient_accumulation_steps", "value": 1, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 0}}
[0] :::MLLOG {"namespace": "", "time_ms": 1621340451929, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[3] :::MLLOG {"namespace": "", "time_ms": 1621340451929, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[4] :::MLLOG {"namespace": "", "time_ms": 1621340451929, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[0] :::MLLOG {"namespace": "", "time_ms": 1621340452077, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[2] :::MLLOG {"namespace": "", "time_ms": 1621340451929, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[3] :::MLLOG {"namespace": "", "time_ms": 1621340452077, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[4] :::MLLOG {"namespace": "", "time_ms": 1621340452077, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[1] :::MLLOG {"namespace": "", "time_ms": 1621340451929, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[2] :::MLLOG {"namespace": "", "time_ms": 1621340452078, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[1] :::MLLOG {"namespace": "", "time_ms": 1621340452078, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[5] :::MLLOG {"namespace": "", "time_ms": 1621340451929, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[6] :::MLLOG {"namespace": "", "time_ms": 1621340451930, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[7] :::MLLOG {"namespace": "", "time_ms": 1621340451929, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[5] :::MLLOG {"namespace": "", "time_ms": 1621340452078, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[6] :::MLLOG {"namespace": "", "time_ms": 1621340452078, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[7] :::MLLOG {"namespace": "", "time_ms": 1621340452078, "event_type": "INTERVAL_START", "key": "init_start", "value": null, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 679}}
[37] :::MLLOG {"namespace": "", "time_ms": 1621340452007, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[39] :::MLLOG {"namespace": "", "time_ms": 1621340452007, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[32] :::MLLOG {"namespace": "", "time_ms": 1621340452007, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[34] :::MLLOG {"namespace": "", "time_ms": 1621340452007, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[38] :::MLLOG {"namespace": "", "time_ms": 1621340452007, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[33] :::MLLOG {"namespace": "", "time_ms": 1621340452007, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
[36] :::MLLOG {"namespace": "", "time_ms": 1621340452007, "event_type": "POINT_IN_TIME", "key": "cache_clear", "value": true, "metadata": {"file": "dlrm_s_pytorch.py", "lineno": 677}}
